rest_name,rest_addr,city,phone,cuisine_type
kokomo,6333 w. third st.,la,2139330773,american
feenix, 8358 sunset blvd. west ,hollywood,2138486677,american
parkway,510 s. arroyo pkwy .,pasadena,8187951001,californian
r-23,923 e. third st.,los angeles,2136877178,japanese
gumbo,6333 w. third st.,la,2139330358,cajun/creole
pink's,709 n. la brea ave.,la,2139314223,hot dogs
original,875 s. figueroa st. downtown,la,2136276879,diners
21 clubs,21 w. 52nd st. ,new york,2125827200,american
langer's,704 s. alvarado st.,la,2134838050,delis
mo,7261 melrose ave.,la,2139355280,hamburgers
killer,4000 colfax ave.,studio city,8185081570,seafood
jody,2011 ocean front walk,venice,3103061995,hot dogs
chanterele, 2 harrison st. near hudson st. ,new york,2129666960,american
ocean,3117 ocean park blvd.,santa monica,3104525728,american
bruno's,3838 centinela ave.,mar vista,3103975703,italian
brighton,9600 brighton way,beverly hills,3102767732,coffee shops
diaghilev,1020 n. san vicente blvd.,w. hollywood,3108541111,russian
rubin's,15322 ventura blvd.,encino,8189056515,hot dogs
ruth's,224 s. beverly dr.,beverly hills,3108598744,steakhouses
la,1842 e. first,st. boyle hts .,2132652887,mexican/tex-mex
fourr seasons grill room,99 e. 52nd st. ,new york,2127549494,american
valentina, 3115 pico blvd. ,santa monica,3108294313,italian
ruby's,45 s. fair oaks ave.,pasadena,8187967829,diners
mishima,8474 w. third st.,la,2137820181,noodle shops
baja,3345 kimber dr.,westlake village,8054984049,mexican
falafel,1059 broxton ave.,westwood,3102084444,middle eastern
yujean kang's gourmet chineese cuisine,67 n. raymond ave. ,los angeles,8185850855,asian
gothamm bar & grill,12 e. 12th st. ,new york,2126204020,american
art's delicatess, 12224 ventura blvd. ,studio city,8187621221,american
asahi,2027 sawtelle blvd.,west la,3104792231,noodle shops
bristol,1570 rosecrans ave. s.,pasadena,3106435229,californian
pho,642 broadway,chinatown,2136265530,vietnamese
local,30869 thousand oaks blvd.,westlake village,8187067706,health food
joe's,1023 abbot kinney blvd.,venice,3103995811,american ( new )
bistro,45 s. mentor ave.,pasadena,8187952478,californian
jan's,8424 beverly blvd.,la,2136512866,coffee shops
michael's,1147 third st.,santa monica,3104510843,californian
ocean,145 n. atlantic blvd.,monterey park,8183082128,seafood
cafe,9777 little santa monica blvd.,beverly hills,3108880108,pacific new wave
main,10509 w. pico blvd.,rancho park,3104757564,american
arni morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,american
indo,10428 1/2 national blvd.,la,3108151290,indonesian
chez,1716 pch,redondo beach,3105401222,eclectic
the palms, 9001 santa monica blvd. ,los angeles,3105508811,american
koo,8393 w. beverly blvd.,la,2136559045,chicken
rae's,2901 pico blvd.,santa monica,3108287937,diners
benita's,1433 third st. promenade,santa monica,3104582889,fast food
felicia, 243 e. 58th st. ,new york,2127581479,italian
johnny,4663 long beach blvd.,long beach,3104237327,southern/soul
johnny,7507 melrose ave.,la,2136513361,american
philipe's the original, 1001 n. alameda st. ,los angeles,2136283781,american
cafe,838 lincoln blvd.,venice,3103991955,american
cassell's,3266 w. sixth st.,la,2134808668,hamburgers
grill on the allie, 9560 dayton way ,los angeles,3102760615,american
maxwell's,13329 washington blvd.,marina del rey,3103067829,american
cafe lala, 201 w. 83rd st. ,new york,2124966031,coffeebar
hollywood,6145 franklin ave.,hollywood,2134677678,coffee shops
carrmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italian
duke's,8909 sunset blvd.,w. hollywood,3106523100,coffee shops
johnnie's,4017 s. sepulveda blvd.,culver city,3103976654,delis
bernard's,515 s. olive st.,los angeles,2136121580,continental
apple,10801 w. pico blvd.,west la,3104753585,american
belvedere,9882 little santa monica blvd.,beverly hills,3107882306,pacific new wave
poquito,2635 w. olive ave.,burbank,8185632252,mexican
la,10506 little santa monica blvd.,century city,3104704992,french ( new )
restaurant katsui, 1972 n. hillhurst ave. ,los angeles,2136651891,asian
la,22800 pch,malibu,3104566299,mexican
aureola,34 e. 61st st. ,new york,2123191660,american
russell's,1198 pch,seal beach,3105969556,hamburgers
mani's,519 s. fairfax ave.,la,2139388800,desserts
john,10516 w. pico blvd.,west la,3102040692,coffee shops
dawatt, 210 e. 58th st. ,new york,2123557555,asian
brent's,19565 parthenia ave.,northridge,8188865679,delis
locanda venetta, 3rd st. ,los angeles,3102741893,italian
campanil, 624 s. la brea ave. ,los angeles,2139381447,american
rex il ristoranti, 617 s. olive st. ,los angeles,2136272300,italian
don,1136 westwood blvd.,westwood,3102091422,italian
feast,1949 westwood blvd.,west la,3104750400,chinese
mulberry,17040 ventura blvd.,encino,8189068881,pizza
matsuhissa, 129 n. la cienega blvd. ,beverly hills,3106599639,asian
jiraffe,502 santa monica blvd,santa monica,3109176671,californian
martha's,22nd street grill 25 22nd,st. hermosa beach,3103767786,american
