OCC_TITLE	H_MEAN	A_MEAN
Management Occupations	55.83	116,120
Chief Executives	127.03	264,210
General and Operations Managers	51.15	106,390
Legislators	*	49,460
Advertising and Promotions Managers	54.18	112,690
Marketing Managers	68.05	141,550
Sales Managers	64.08	133,290
Public Relations Managers	59.08	122,880
Fundraising Managers	52.53	109,270
Administrative Services Managers	51.02	106,130
Facilities Managers	50.78	105,620
Computer and Information Systems Managers	74.45	154,860
Financial Managers	74.15	154,240
Industrial Production Managers	60.14	125,080
Purchasing Managers	64.39	133,930
Transportation, Storage, and Distribution Managers	51.74	107,620
Compensation and Benefits Managers	64.98	135,160
Human Resources Managers	63.60	132,290
Training and Development Managers	59.12	122,970
Farmers, Ranchers, and Other Agricultural Managers	31.15	64,780
Construction Managers	49.30	102,540
Education and Childcare Administrators, Preschool and Daycare	26.29	54,690
Education Administrators, Kindergarten through Secondary	*	88,720
Education Administrators, Postsecondary	52.06	108,290
Education Administrators, All Other	43.58	90,640
Architectural and Engineering Managers	82.41	171,410
Food Service Managers	30.32	63,070
Gambling Managers	43.00	89,450
Entertainment and Recreation Managers, Except Gambling	38.91	80,920
Lodging Managers	36.60	76,130
Medical and Health Services Managers	56.10	116,690
Natural Sciences Managers	59.42	123,590
Postmasters and Mail Superintendents	40.16	83,530
Property, Real Estate, and Community Association Managers	35.14	73,080
Social and Community Service Managers	35.78	74,420
Emergency Management Directors	46.69	97,110
Funeral Home Managers	32.10	66,780
Personal Service Managers, All Other	35.38	73,590
Managers, All Other	65.05	135,300
Business and Financial Operations Occupations	38.31	79,690
Agents and Business Managers of Artists, Performers, and Athletes	29.96	62,310
Buyers and Purchasing Agents	35.06	72,920
Claims Adjusters, Examiners, and Investigators	32.82	68,270
Insurance Appraisers, Auto Damage	29.41	61,170
Compliance Officers	35.14	73,090
Cost Estimators	33.62	69,930
Human Resources Specialists	33.34	69,360
Labor Relations Specialists	28.19	58,630
Logisticians	36.86	76,660
Project Management Specialists	46.77	97,290
Management Analysts	46.45	96,620
Meeting, Convention, and Event Planners	24.33	50,600
Fundraisers	28.48	59,240
Compensation, Benefits, and Job Analysis Specialists	33.12	68,890
Training and Development Specialists	31.62	65,770
Market Research Analysts and Marketing Specialists	33.94	70,600
Business Operations Specialists, All Other	37.77	78,560
Accountants and Auditors	41.28	85,860
Property Appraisers and Assessors	40.19	83,580
Budget Analysts	37.04	77,030
Credit Analysts	38.95	81,010
Financial and Investment Analysts	42.80	89,020
Personal Financial Advisors	53.10	110,450
Insurance Underwriters	33.30	69,260
Financial Risk Specialists	45.97	95,610
Financial Examiners	40.99	85,260
Credit Counselors	20.68	43,010
Loan Officers	34.76	72,300
Tax Examiners and Collectors, and Revenue Agents	28.64	59,560
Tax Preparers	28.55	59,380
Financial Specialists, All Other	32.76	68,150
Computer and Mathematical Occupations	45.13	93,880
Computer Systems Analysts	50.54	105,130
Information Security Analysts	48.94	101,800
Computer and Information Research Scientists	70.28	146,180
Computer Network Support Specialists	34.52	71,800
Computer User Support Specialists	25.26	52,530
Computer Network Architects	55.69	115,840
Database Administrators	47.56	98,910
Database Architects	61.02	126,920
Network and Computer Systems Administrators	43.09	89,630
Computer Programmers	38.92	80,950
Software Developers	53.77	111,830
Software Quality Assurance Analysts and Testers	43.45	90,370
Web Developers	37.44	77,880
Web and Digital Interface Designers	40.51	84,270
Computer Occupations, All Other	44.33	92,210
Actuaries	51.69	107,510
Statisticians	43.25	89,960
Data Scientists	54.98	114,360
Mathematical Science Occupations, All Other	22.67	47,150
Architecture and Engineering Occupations	45.21	94,030
Architects, Except Landscape and Naval	43.70	90,900
Landscape Architects	34.21	71,160
Cartographers and Photogrammetrists	36.89	76,740
Surveyors	31.60	65,730
Aerospace Engineers	57.70	120,010
Agricultural Engineers	46.50	96,720
Bioengineers and Biomedical Engineers	39.26	81,660
Chemical Engineers	79.07	164,470
Civil Engineers	45.42	94,470
Computer Hardware Engineers	55.60	115,640
Electrical Engineers	51.35	106,800
Electronics Engineers, Except Computer	57.13	118,830
Environmental Engineers	58.74	122,170
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	55.18	114,780
Industrial Engineers	48.61	101,120
Marine Engineers and Naval Architects	44.38	92,300
Materials Engineers	55.25	114,930
Mechanical Engineers	53.52	111,330
Mining and Geological Engineers, Including Mining Safety Engineers	57.13	118,840
Nuclear Engineers	48.78	101,470
Petroleum Engineers	72.80	151,420
Engineers, All Other	52.35	108,900
Architectural and Civil Drafters	27.76	57,740
Electrical and Electronics Drafters	30.19	62,800
Mechanical Drafters	30.75	63,960
Drafters, All Other	26.46	55,030
Aerospace Engineering and Operations Technologists and Technicians	32.82	68,270
Civil Engineering Technologists and Technicians	25.33	52,690
Electrical and Electronic Engineering Technologists and Technicians	32.04	66,640
Electro-Mechanical and Mechatronics Technologists and Technicians	33.49	69,650
Environmental Engineering Technologists and Technicians	24.37	50,700
Industrial Engineering Technologists and Technicians	31.53	65,570
Mechanical Engineering Technologists and Technicians	30.78	64,010
Calibration Technologists and Technicians	28.71	59,720
Engineering Technologists and Technicians, Except Drafters, All Other	32.05	66,670
Surveying and Mapping Technicians	22.52	46,840
Life, Physical, and Social Science Occupations	35.84	74,540
Animal Scientists	30.81	64,080
Food Scientists and Technologists	39.68	82,530
Soil and Plant Scientists	37.74	78,490
Biochemists and Biophysicists	34.12	70,970
Microbiologists	29.98	62,350
Zoologists and Wildlife Biologists	37.18	77,330
Biological Scientists, All Other	38.00	79,040
Conservation Scientists	28.86	60,030
Foresters	24.15	50,230
Epidemiologists	39.81	82,810
Medical Scientists, Except Epidemiologists	39.89	82,980
Life Scientists, All Other	40.36	83,950
Astronomers	49.02	101,960
Physicists	73.39	152,660
Atmospheric and Space Scientists	42.66	88,740
Chemists	42.34	88,070
Materials Scientists	32.42	67,430
Environmental Scientists and Specialists, Including Health	37.71	78,430
Geoscientists, Except Hydrologists and Geographers	69.69	144,950
Hydrologists	38.21	79,480
Physical Scientists, All Other	44.36	92,280
Economists	51.90	107,950
Survey Researchers	24.01	49,940
Clinical and Counseling Psychologists	39.67	82,510
School Psychologists	34.17	71,080
Psychologists, All Other	48.89	101,680
Urban and Regional Planners	34.19	71,110
Anthropologists and Archeologists	30.33	63,090
Geographers	33.45	69,580
Historians	36.66	76,260
Political Scientists	43.87	91,240
Social Scientists and Related Workers, All Other	41.95	87,260
Agricultural Technicians	18.58	38,640
Food Science Technicians	20.65	42,960
Biological Technicians	25.22	52,460
Chemical Technicians	32.06	66,680
Environmental Science and Protection Technicians, Including Health	23.99	49,900
Geological Technicians, Except Hydrologic Technicians	28.43	59,130
Hydrologic Technicians	45.55	94,740
Nuclear Technicians	44.82	93,220
Social Science Research Assistants	20.34	42,310
Forest and Conservation Technicians	20.52	42,670
Forensic Science Technicians	27.37	56,940
Life, Physical, and Social Science Technicians, All Other	21.08	43,850
Occupational Health and Safety Specialists	36.78	76,510
Occupational Health and Safety Technicians	23.17	48,200
Community and Social Service Occupations	24.67	51,310
Educational, Guidance, and Career Counselors and Advisors	28.64	59,560
Marriage and Family Therapists	27.38	56,950
Rehabilitation Counselors	20.97	43,610
Substance Abuse, Behavioral Disorder, and Mental Health Counselors	23.81	49,510
Counselors, All Other	24.16	50,240
Child, Family, and School Social Workers	23.71	49,310
Healthcare Social Workers	31.17	64,840
Mental Health and Substance Abuse Social Workers	22.57	46,950
Social Workers, All Other	32.44	67,470
Health Education Specialists	26.17	54,440
Probation Officers and Correctional Treatment Specialists	24.08	50,090
Social and Human Service Assistants	19.05	39,630
